 Заболели Умерли Вылечились Активные случаи 
Лихтенштейн  (3584, 60, 0, 3524)
Монако  (3357, 35, 0, 3322)
о-ва Тёркс и Кайкос  (2922, 23, 0, 2899)
Виргинские о-ва   (2725, 37, 0, 2688)
Бутан  (2617, 3, 0, 2614)
Сент-Китс и Невис  (2525, 21, 0, 2504)
Сен-Бартелеми  (1658, 6, 0, 1652)
Фарерские о-ва  (1332, 2, 0, 1330)
Острова Кайман  (1011, 2, 0, 1009)
Лайнер «Даймонд Принсесс»  (712, 13, 0, 699)
Ангилья  (668, 1, 0, 667)
Гренландия  (654, 0, 0, 654)
Фолклендские о-ва  (69, 0, 0, 69)
Монтсеррат  (41, 1, 0, 40)
Сен-Пьер и Микелон  (32, 0, 0, 32)
Ватикан  (27, 0, 0, 27)
Соломоновы Острова  (20, 0, 0, 20)
Палау  (8, 0, 0, 8)
Вануату  (4, 1, 0, 3)
Маршалловы Острова  (4, 0, 0, 4)
Самоа  (3, 0, 0, 3)
Кирибати  (2, 0, 0, 2)
Федеративные Штаты Микронезии  (1, 0, 0, 1)
Всего  (240224626, 4894670, 6981907, 228348049)
